hip,ra_degrees,dec_degrees,k,vmag,angular_diameter_mas
88,0.26915958,-48.80985919,5200.0,5.71,7.3025
107,0.33380226,-50.33739907,3200.0,5.53,20.9526
122,0.39937928,-77.06529438,4700.0,4.78,13.5964
124,0.40424537,61.22280406,7500.0,5.58,3.7462
145,0.45598912,-3.02747891,16000.0,5.13,1.0055
154,0.48996506,-6.01397169,3050.0,4.37,39.2695
171,0.54018776,27.08448905,5700.0,5.8,5.3929
183,0.58297574,-29.72044805,22000.0,5.04,0.5552
194,0.62398938,8.48557854,7500.0,5.7,3.4537
207,0.65034249,66.09896341,5200.0,5.87,6.8139
301,0.93488487,-17.33597002,12000.0,4.55,2.3198
330,1.05693212,62.2876646,9750.0,5.9,1.9129
343,1.08233885,-16.52888969,5000.0,5.78,7.607
355,1.1255098,-10.50949443,4550.0,4.99,13.3406
377,1.17188841,-71.43685835,14000.0,5.59,1.065
379,1.17432297,67.16638761,4850.0,5.68,8.4743
418,1.27555231,61.31396468,14000.0,5.8,0.968
443,1.33394073,-5.70783255,4850.0,4.61,13.6595
476,1.42473238,13.39628227,5500.0,5.55,7.0071
518,1.56474395,58.43668966,5500.0,5.98,5.5131
522,1.5777634,-49.07509405,5900.0,5.7,5.5094
531,1.61052855,64.19616859,12000.0,5.57,1.4665
636,1.94523194,-22.50847542,9750.0,5.93,1.8648
655,2.01465535,-33.52933371,4850.0,5.67,8.5158
671,2.07313617,-8.82402541,5200.0,5.99,6.3944
677,2.09653333,29.09082805,12000.0,2.07,7.1265
729,2.2597423,18.21202529,5100.0,5.57,8.055
746,2.29204036,59.15021814,7200.0,2.28,17.4822
761,2.3375862,-27.9879039,7050.0,5.42,4.5012
765,2.35224949,-45.74698836,5000.0,3.88,18.0265
813,2.50910252,11.14580908,12000.0,5.54,1.4769
814,2.50945435,-82.22399743,4850.0,5.29,10.1092
840,2.57853868,-5.24851713,4850.0,5.84,7.8096
841,2.58017518,46.07227117,7200.0,5.01,5.2724
873,2.67810574,-12.57980381,5000.0,5.84,7.3693
910,2.81628415,-15.46732287,6750.0,4.89,6.0235
930,2.8934043,-27.7997782,4700.0,5.41,10.267
950,2.93286698,-35.13339606,7050.0,5.24,4.735
983,3.04145374,-17.93821766,4400.0,5.29,12.3838
1067,3.30895828,15.18361593,26000.0,2.83,1.0961
1074,3.3314522,-84.99402068,3500.0,5.78,15.6389
1086,3.37889713,41.03572671,7500.0,5.71,3.4306
1096,3.42591849,-26.02215399,4250.0,5.94,9.8606
1158,3.61496786,-7.78053784,3050.0,5.13,27.7468
1168,3.65045047,20.2066972,3200.0,4.79,29.3368
1170,3.66013628,-18.93268628,3350.0,4.44,31.5579
1191,3.72708897,-9.56955053,12000.0,5.77,1.3293
1288,4.0366068,-31.44632821,4700.0,5.66,9.1318
1354,4.23771177,61.53319397,5200.0,5.74,7.2088
1366,4.27306518,38.68167915,9500.0,4.61,3.6058
1372,4.28766746,47.94741495,16000.0,5.86,0.7217
